Input ID	Situs Street	Situs City	Situs Zip Code	Use Type	Parcel Type	Parcel Status	Tax Rate Area	Create Date	Delete Date	Tax Status	Tax Defaulted Year	Exemption	Use Code	Design Type	Quality Class	Num Of Units	Num Of Beds	Num Of Baths	Sqft Main	Year Built	Effective Year	Usable Sqft Lot
2004001003	8321 FAUST AVE	LOS ANGELES CA	91304-3327	Single Family Residence	Regular Fee Parcel	ACTIVE	00016			CURRENT		None	0101	0131	D7C  	1	4	3	2090	1973	1973	9685
2004001004	8313 FAUST AVE	LOS ANGELES CA	91304-3327	Single Family Residence	Regular Fee Parcel	ACTIVE	00016			CURRENT		None	0101	0131	D7D  	1	5	3	2479	1973	1973	9834
2004001005	8309 FAUST AVE	LOS ANGELES CA	91304-3327	Single Family Residence	Regular Fee Parcel	ACTIVE	00016			CURRENT		None	0100	0130	D7D  	1	4	2	2057	1973	1973	9610
2004001008	8325 MAYNARD AVE	LOS ANGELES CA	91304-3332	Single Family Residence	Regular Fee Parcel	ACTIVE	00016			CURRENT		Homeowners’	0101	0131	D7D  	1	4	3	2423	1978	1978	11909
2004001009	8311 MAYNARD AVE	LOS ANGELES CA	91304-3332	Single Family Residence	Regular Fee Parcel	ACTIVE	00016			CURRENT		Homeowners’	0101	0131	D7D  	1	4	3	2226	1978	1978	15006
2004001010	8305 MAYNARD AVE	LOS ANGELES CA	91304-3332	Single Family Residence	Regular Fee Parcel	ACTIVE	00016			CURRENT		Homeowners’	0101	0131	D7D  	1	4	3	2423	1978	1978	11696
2004001011	8301 MAYNARD AVE	LOS ANGELES CA	91304-3332	Single Family Residence	Regular Fee Parcel	ACTIVE	00016			CURRENT		None	0100	0130	D7D  	1	4	3	2423	1978	1978	13486
2004001012	8304 MAYNARD AVE	LOS ANGELES CA	91304-3331	Single Family Residence	Regular Fee Parcel	ACTIVE	00016			CURRENT		Homeowners’	0100	0130	D7D  	1	4	3	2226	1978	1978	15120
2004001013	8308 MAYNARD AVE	LOS ANGELES CA	91304-3331	Single Family Residence	Regular Fee Parcel	ACTIVE	00016			CURRENT		Homeowners’	0100	0130	D7D  	1	4	2	2351	1978	1978	11940
2004001014	8312 MAYNARD AVE	LOS ANGELES CA	91304-3331	Single Family Residence	Regular Fee Parcel	ACTIVE	00016			CURRENT		Homeowners’	0107	0130	D7D  	1	2	3	2423	1978	1978	11657
